ip,duration,hostname,model,firmware,sysname_compliant,sysname_details,tacacs_compliant,tacacs_details,snmp_v3_check_compliant,snmp_v3_check_details,snmp_trap_check_compliant,snmp_trap_check_details
10.217.60.135,29.4,R24LUADO529,5510 24G 4SFP+ HI JH145A,"7.1.045, Release 1118P02",True,Hostname 'R24LUADO529' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.95.102,35.8,R58M03LB003,3810M-40G-8SR-PoE+-1-slot  JL076A,KB.16.11.0018,True,Hostname 'R58M03LB003' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.9.16,43.0,R37NBLEM676,2930F-48G-PoE+-4SFP  JL262A,WC.16.06.0006,True,Hostname 'R37NBLEM676' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.4.10,45.3,R24AMNAT001,2930F-48G-PoE+-4SFP  JL262A,WC.16.06.0006,True,Hostname 'R24AMNAT001' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.220.117.132,54.1,R20CYVLTX01,S5735-S-V2,1.23.1.1 (S5700 V600R023C10SPC500),True,Hostname 'R20CYVLTX01' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Ciphering services not available or ciphertext is broken,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.217.188.10,54.4,HW-48-FEDE-TECLECOM-BES,S5735-S-V2,1.23.1.1 (S5700 V600R023C10SPC500),False,Hostname 'HW-48-FEDE-TECLECOM-BES' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.48.21,56.8,C50VSGCE326,HP 7503,"5.20.105, Feature 6705L01-US",False,Hostname 'C50VSGCE326' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.48.20,57.4,C50VSGCE142,HP 7503,"5.20.105, Feature 6705L01-US",False,Hostname 'C50VSGCE142' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: No SNMP response received before timeout,False,Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.218.239.70,57.6,LEV-TECH-CR1,S5732-H24S6Q,5.170 (S5732 V200R021C00SPC100),False,Hostname 'LEV-TECH-CR1' is not compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Ciphering services not available or ciphertext is broken,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
10.219.38.5,58.2,NETWRASEX0001-0002,S5732-H48S6Q,5.170 (S5732 V200R022C00SPC500),True,Hostname 'NETWRASEX0001-0002' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).
10.218.24.4,58.4,NETWAUCLF0009,5520 24G SFP 4SFP+ HI Swch R8M27A,"7.1.070, Release 6530P01",True,Hostname 'NETWAUCLF0009' is compliant,True,SSH/TACACS connectivity OK,False,SNMPv3 Error: Unknown USM user,False,Trap SNMP non activé (snmp-agent trap enable manquant).; Trap vers 10.105.29.41 manquant.; Trap vers 10.105.30.166 manquant.
